From,To
YYJ,YVR
YYJ,YLW
YYJ,YXS
YYJ,YEG
YYJ,YYC
YYJ,YYZ
YYJ,YXY
YVR,YKA
YVR,YLW
YVR,YXS
YVR,YXC
YVR,YEG
YVR,YYC
YVR,YQR
YVR,YXE
YVR,YWG
YVR,YYZ
YVR,YKF
YVR,YOW
YVR,YUL
YVR,YXY
YVR,YZF
YXX,YEG
YXX,YYC
YXX,YWG
YXX,YHM
YXX,YYZ
YKA,YYC
YLW,YXS
YLW,YEG
YLW,YYC
YLW,YYZ
YXS,YEG
YXC,YYC
YEG,YYC
YEG,YQU
YEG,YQR
YEG,YXE
YEG,YWG
YEG,YHM
YEG,YYZ
YEG,YOW
YEG,YUL
YEG,YHZ
YEG,YXY
YEG,YZF
YYC,YQU
YYC,YQR
YYC,YXE
YYC,YBR
YYC,YWG
YYC,YYZ
YYC,YOW
YYC,YUL
YYC,YQB
YYC,YHZ
YYC,YZF
YQR,YXE
YQR,YWG
YQR,YYZ
YXE,YWG
YXE,YYZ
YXE,YUL
YWG,YHM
YWG,YYZ
YWG,YOW
YWG,YUL
YWG,YHZ
YHM,YHZ
YHM,YYG
YHM,YYT
YYZ,YOW
YYZ,YQT
YYZ,YUL
YYZ,YQB
YYZ,YFC
YYZ,YSJ
YYZ,YHZ
YYZ,YYG
YYZ,YYT
YYZ,YJT
YKF,YUL
YKF,YHZ
YKF,YYG
YOW,YUL
YOW,YFC
YOW,YHZ
YUL,YQB
YUL,YFC
YUL,YSJ
YUL,YHZ
YUL,YYG
YUL,YYT
YUL,YJT
YHZ,YYT
YHZ,YJT
YYT,YJT
YXY,YZF